FlowCell Text Data File: Liver_130525.csv
Software Version: 2.30
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.211
Date: 2025-05-13
Time: 12:39:51
User: MS AC

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW55Ti
Speed: 37 rpm
Gradient: Sucrose 10.0% to 50.0% v/v
Time: 1:00
w2t:  x 10^0
Sample Volume: 0.3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.116 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 40.8 mm
Upper Limit to Slow-down Distance: 81.40 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 20
Distance/fraction: 2.04 mm
Start Distance: 0.00 mm
Volume/fraction: 0.237 ml
Data Samples/mm: 10.00

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 500 ms
LED1 (260 nm) On Time: 10 ms
Sample A Zero: 781850
Source A Zero: 240096.4

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
516565.050, 231401.490, 34.20, 0.849709, , 
517238.220, 231387.780, 34.30, 0.846645, , 
517810.600, 231470.310, 34.40, 0.844959, , 
517883.060, 231470.310, 34.50, 0.844644, , 
519528.870, 231470.310, 34.60, 0.837504, , 
520969.040, 231470.310, 34.71, 0.831274, , 
521502.180, 231470.310, 34.81, 0.828972, 17, 0.246
523101.220, 231574.430, 34.91, 0.823094, , 
523922.230, 231534.820, 35.01, 0.819180, , 
524849.820, 231555.190, 35.11, 0.815397, , 
525236.520, 231498.450, 35.21, 0.813188, , 
526337.890, 231398.930, 35.31, 0.807507, , 
527676.080, 231425.040, 35.41, 0.802046, , 
529092.810, 231555.780, 35.51, 0.797283, , 
530118.560, 231526.580, 35.61, 0.792641, , 
531313.070, 231495.140, 35.71, 0.787270, , 
532177.310, 231504.770, 35.82, 0.783706, , 
532719.950, 231668.110, 35.92, 0.783000, , 
533992.350, 231585.410, 36.02, 0.776827, , 
535334.370, 231562.340, 36.12, 0.770954, , 
535999.310, 231625.740, 36.22, 0.768777, , 
536960.200, 231621.410, 36.32, 0.764704, , 
538742.120, 231713.020, 36.42, 0.758138, , 
540773.360, 231690.030, 36.52, 0.749446, , 
541183.660, 231690.030, 36.62, 0.747739, , 
542566.880, 231690.030, 36.72, 0.741995, , 
543982.610, 231690.030, 36.82, 0.736130, 18, 0.234
545290.660, 231690.030, 36.93, 0.730725, , 
546136.140, 231600.560, 37.03, 0.726370, , 
547550.910, 231561.970, 37.13, 0.720172, , 
548762.230, 231469.580, 37.23, 0.714301, , 
551067.610, 231615.620, 37.33, 0.706286, , 
552686.480, 231637.350, 37.43, 0.699896, , 
553725.410, 231564.020, 37.53, 0.694957, , 
555147.250, 231495.980, 37.63, 0.688524, , 
556077.830, 231621.110, 37.73, 0.685971, , 
555806.260, 231646.670, 37.83, 0.687319, , 
558104.960, 231609.110, 37.93, 0.677666, 19, 0.141
560025.700, 231650.640, 38.03, 0.670338, , 
561122.540, 231656.940, 38.14, 0.665996, , 
562194.630, 231732.120, 38.23, 0.662430, , 
563971.400, 231633.890, 38.34, 0.654375, , 
566594.590, 231642.960, 38.44, 0.644020, , 
568420.210, 231676.340, 38.54, 0.637105, , 
569806.950, 231676.340, 38.64, 0.631621, , 
571051.720, 231676.340, 38.74, 0.626710, , 
572163.490, 231676.340, 38.84, 0.622333, , 
572905.510, 231676.340, 38.95, 0.619417, , 
573859.000, 231589.950, 39.05, 0.614835, , 
576035.780, 231702.370, 39.15, 0.607407, , 
577142.690, 231602.880, 39.25, 0.602120, , 
578903.840, 231602.470, 39.35, 0.595259, , 
579351.600, 231583.320, 39.45, 0.593333, , 
579510.570, 231550.020, 39.55, 0.592392, , 
581242.390, 231585.680, 39.65, 0.586024, , 
581919.820, 231680.710, 39.75, 0.584326, , 
581242.390, 231585.680, 42.33, 0.586024, A, 0.299
